3599,212,0
26476,25750,0
20457,20159,1
3201,3121,1
25621,28124,0
29321,4441,0
1851,1541,1
23256,4827,0
25977,25690,1
30263,30271,1
17650,17829,1
21030,21328,1
31184,31022,1
26592,29347,0
9612,9904,1
16583,16991,1
26792,31545,0
25643,25730,1
26264,6351,0
7050,1447,0
23132,23403,1
20225,14478,0
3602,3636,1
11493,11394,1
9330,130,0
18026,18341,1
25663,22517,0
15645,15749,1
20892,28566,0
23788,23693,1
20006,20199,1
29637,29979,1
17847,17508,1
14571,14838,1
26205,18591,0
502,667,1
2959,4286,0
30244,30333,1
2443,2012,1
8681,26829,0
28530,5912,0
21621,23483,0
21026,12060,0
13842,23456,0
10526,24934,0
30994,30742,1
11075,11446,1
23110,23354,1
8053,8198,1
8810,8633,1
12758,12876,1
29494,29262,1
20462,19251,0
24196,24227,1
30464,3957,0
12917,12978,1
114,11671,0
11178,11492,1
15930,15826,1
139,3704,0
1584,1821,1
8999,8555,1
26517,30134,0
26869,26569,1
23599,6323,0
28349,28182,1
6066,6343,1
30337,30438,1
26169,26047,1
17151,15774,0
31858,31528,1
27289,27187,1
27401,27474,1
25123,28989,0
30496,30396,1
8935,31483,0
31664,7709,0
26494,24284,0
19624,7442,0
30874,28646,0
12272,12193,1
27489,514,0
26040,8462,0
27136,27428,1
25110,30935,0
4112,4490,1
20630,20844,1
22295,8193,0
28088,28129,1
1002,1202,1
13579,13836,1
10994,8950,0
3071,3195,1
6142,6153,1
25823,25768,1
5384,5227,1
25772,14795,0
26148,1146,0
9654,9821,1
23856,23529,1
4972,4924,1
1896,18507,0
8883,8770,1
17359,17479,1
20400,12232,0
22533,22726,1
2702,10742,0
28161,23302,0
31425,1350,0
3058,3443,1
1735,1768,1
22805,25891,0
26418,8082,0
25986,2427,0
30244,27109,0
12161,12061,1
4625,4878,1
16246,16498,1
7661,13334,0
10730,10738,1
8496,4147,0
7485,7495,1
29236,3231,0
30572,30723,1
13666,13004,0
21153,21228,1
16598,19272,0
19714,18997,0
6361,25912,0
23092,12866,0
30602,30666,1
18637,3390,0
9419,9344,1
9715,23475,0
25357,25157,1
20236,16540,0
15258,15231,1
27702,27868,1
20642,19158,0
31494,31302,1
12906,13766,0
29443,24145,0
30461,30668,0
5572,12594,0
30538,25701,0
15197,13141,0
6355,11337,0
31896,31600,1
22769,22807,1
25885,25864,1
21756,17572,0
23171,23499,1
18582,18678,1
20613,20532,1
30969,30742,1
19888,26542,0
19453,19069,1
7088,2376,0
15628,15745,1
9773,9977,1
